Time,Evaluations,Iterations,Objective value,Local search applications,Greedy solutions,Reemplacements in the population
36.47153997421265,42488621.0,63.0,7339582,2828.0,64.0,49.0
36.2641167640686,33157456.0,53.0,7352680,2202.0,54.0,39.0
36.71072030067444,34984053.0,55.0,7366436,2363.0,56.0,41.0
36.616289377212524,35013963.0,55.0,7344692,2340.0,56.0,41.0
36.17642402648926,34620301.0,55.0,7359544,2336.0,56.0,41.0
36.233423709869385,40357407.0,61.0,7324510,2681.0,62.0,47.0
36.39574956893921,35446893.0,56.0,7354212,2375.0,57.0,42.0
36.599061250686646,39999909.0,60.0,7322768,2673.0,61.0,46.0
36.71464443206787,28431615.0,47.0,7359696,1880.0,48.0,33.0
36.64428186416626,29534126.0,48.0,7323376,1990.0,49.0,34.0
36.57933712005615,36401093.0,57.0,7335048,2429.0,58.0,43.0
36.33454179763794,34029878.0,54.0,7358326,2280.0,55.0,40.0
36.93018460273743,33863039.0,53.0,7348612,2258.0,54.0,39.0
36.33736777305603,34361138.0,54.0,7334092,2296.0,55.0,40.0
36.76514720916748,33136434.0,52.0,7351636,2234.0,53.0,38.0
37.301105976104736,28057673.0,46.0,7380934,1854.0,47.0,32.0
36.25859189033508,34339470.0,54.0,7347250,2283.0,55.0,40.0
36.92414331436157,33399254.0,52.0,7371596,2246.0,53.0,38.0
36.16250705718994,30392177.0,49.0,7348046,2011.0,50.0,35.0
36.82690691947937,28625436.0,47.0,7356148,1918.0,48.0,33.0
36.13548254966736,34737328.0,55.0,7363398,2354.0,56.0,41.0
36.251516819000244,29448434.0,48.0,7347992,1959.0,49.0,34.0
36.72611975669861,33063542.0,52.0,7325924,2183.0,53.0,38.0
36.83303928375244,37975073.0,58.0,7361328,2551.0,59.0,44.0
36.11693048477173,33772456.0,53.0,7402206,2255.0,54.0,39.0
36.47106194496155,31329347.0,50.0,7348924,2077.0,51.0,36.0
37.27536582946777,34624411.0,54.0,7371098,2295.0,55.0,40.0
36.39119553565979,25834255.0,44.0,7359294,1740.0,45.0,30.0
36.71904706954956,34011551.0,55.0,7359710,2317.0,56.0,41.0
36.551002979278564,38290076.0,58.0,7349542,2527.0,59.0,44.0
