Time,Evaluations,Iterations,Objective value,Local search applications,Greedy solutions,Reemplacements in the population
225.06647038459778,17987626.0,343.0,8282676,343.0,6342.0,24766.0
225.55399823188782,17424728.0,329.0,8254024,329.0,6720.0,25215.0
225.2505075931549,19148505.0,366.0,8307008,366.0,6573.0,26247.0
225.79307556152344,18244146.0,346.0,8261268,346.0,6630.0,25757.0
225.5187931060791,17375039.0,329.0,8246356,329.0,6359.0,24560.0
225.27908372879028,18859279.0,356.0,8315116,356.0,6616.0,25788.0
225.19434213638306,18203711.0,339.0,8296700,339.0,6500.0,25579.0
225.48489904403687,17073021.0,321.0,8258754,321.0,6318.0,24204.0
225.13453221321106,19414060.0,375.0,8252644,375.0,6727.0,26329.0
225.62590193748474,19968520.0,375.0,8247296,375.0,7129.0,27222.0
225.01936030387878,18636227.0,355.0,8254492,355.0,6445.0,25158.0
225.59079718589783,18922133.0,360.0,8327728,360.0,6596.0,26263.0
225.0244243144989,20440035.0,386.0,8278068,386.0,7118.0,26175.0
225.20546507835388,18727841.0,359.0,8223338,359.0,6493.0,25120.0
225.73172879219055,20456394.0,387.0,8274184,387.0,6443.0,26790.0
225.2689094543457,17363860.0,322.0,8227736,322.0,6253.0,24236.0
225.09261202812195,20036105.0,389.0,8295956,389.0,5805.0,23388.0
225.51504015922546,20162616.0,378.0,8324016,378.0,6654.0,26651.0
225.31973218917847,18070649.0,343.0,8279240,343.0,6558.0,25349.0
225.52145528793335,23067443.0,445.0,8257198,445.0,6051.0,26789.0
225.3152949810028,18137772.0,334.0,8274290,334.0,6661.0,25447.0
225.21465706825256,22697465.0,453.0,8327102,453.0,5681.0,24639.0
225.20598196983337,20608254.0,389.0,8313714,389.0,6849.0,27674.0
225.17169332504272,41026514.0,883.0,8292836,883.0,3915.0,12803.0
225.44896173477173,18425472.0,347.0,8254364,347.0,6822.0,25918.0
225.05423736572266,18271347.0,349.0,8268786,349.0,6286.0,24632.0
225.63768339157104,17827411.0,334.0,8242010,334.0,6081.0,24314.0
225.03128790855408,17823632.0,335.0,8289366,335.0,6451.0,24983.0
225.1386435031891,21284012.0,403.0,8299296,403.0,6978.0,28398.0
225.10670375823975,21056437.0,408.0,8297976,408.0,6127.0,26110.0
